Người bán,Địa chỉ,Mã số thuế,Số hóa đơn,Thời gian,Tên sản phẩm,Số lượng,Đơn giá,Thành tiền,Tổng cộng,Tiền khách đưa,Tiền thối
BACH HOA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079858,01/11/2022 08:58,ĐẬU TRẮNG BI GÓI 150GR,1,16600.0,16600.0,27500.0,50000.0,22500.0
BACH HOA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079858,01/11/2022 08:58,SẢ CÂY (KG),1,22000.0,22000.0,27500.0,50000.0,22500.0
BACH HOA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079858,01/11/2022 08:58,CẢI BẸ DÚN,1,28900.0,28900.0,27500.0,50000.0,22500.0
