Người bán,Địa chỉ,Mã số thuế,Số hóa đơn,Thời gian,Tên sản phẩm,Số lượng,Đơn giá,Thành tiền,Tổng cộng,Tiền khách đưa,Tiền thối
BÁCH HÓA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079861,01/11/2022 09:08,BÁNH QUY COSY MARIE 432G/408G,1,48400.0,48400.0,201000.0,201000.0,0.0
BÁCH HÓA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079861,01/11/2022 09:08,THANH LONG RUỘT ĐỎ,1,20000.0,20000.0,201000.0,201000.0,0.0
BÁCH HÓA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079861,01/11/2022 09:08,BÁNH DD AFC LÚA MÌ HỘP 200G,1,30200.0,30200.0,201000.0,201000.0,0.0
BÁCH HÓA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079861,01/11/2022 09:08,SỮA TH MILK NGUYÊN CHẤT HỘP 1L,2,36800.0,73600.0,201000.0,201000.0,0.0
BÁCH HÓA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079861,01/11/2022 09:08,MÌ UNIF BÒ RAU THƠM GÓI 72G*30,2,4500.0,9000.0,201000.0,201000.0,0.0
BÁCH HÓA XANH,"12/102 Man Thiện, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,22110059800079861,01/11/2022 09:08,MÌ XÀO TIÊU NHỊ THỊT SỐT CHUA CAY 72G,2,4400.0,8800.0,201000.0,201000.0,0.0
