Người bán,Địa chỉ,Mã số thuế,Số hóa đơn,Thời gian,Tên sản phẩm,Số lượng,Đơn giá,Thành tiền,Tổng cộng,Tiền khách đưa,Tiền thối
SUSHI RESTAURANT,"240 Lê Thánh Tôn, Q1, TP.HCM",,,13/01/2016,N1-1 cơm cuộn các loại & thịt gà sốt teriyaki,1,98000.0,98000.0,311300.0,,
SUSHI RESTAURANT,"240 Lê Thánh Tôn, Q1, TP.HCM",,,13/01/2016,Sd-10 gà chiên,1,48000.0,48000.0,311300.0,,
SUSHI RESTAURANT,"240 Lê Thánh Tôn, Q1, TP.HCM",,,13/01/2016,Sd-2 cá hồi và rong biển trộn mè,1,42000.0,42000.0,311300.0,,
SUSHI RESTAURANT,"240 Lê Thánh Tôn, Q1, TP.HCM",,,13/01/2016,Sd-4 bánh hải sản và hành,1,50000.0,50000.0,311300.0,,
SUSHI RESTAURANT,"240 Lê Thánh Tôn, Q1, TP.HCM",,,13/01/2016,Dr-1 sapporo,1,30000.0,30000.0,311300.0,,
SUSHI RESTAURANT,"240 Lê Thánh Tôn, Q1, TP.HCM",,,13/01/2016,Dr-33 pink guava & strawberry,1,15000.0,15000.0,311300.0,,
