Người bán,Địa chỉ,Mã số thuế,Số hóa đơn,Thời gian,Tên sản phẩm,Số lượng,Đơn giá,Thành tiền,Tổng cộng,Tiền khách đưa,Tiền thối
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,BUN SING,1,42000.0,42000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,MI GION X CHAY,1,37000.0,37000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,MI X GION N,2,40000.0,80000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,COM BAT BUU,4,43000.0,172000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,SUON CHIEN KDO,1,65000.0,65000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,HU TIEU N,1,40000.0,40000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,TOM LAN BOT,1,65000.0,65000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,PEPSI,2,8000.0,16000.0,537000.0,,
QUAN AN THIEN TAN,17-19 TON DAN F13Q4 TPHCM,,000887,13/11/2011 20:54,TRA DA,10,2000.0,20000.0,537000.0,,
